file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,88,css,89c44175,taejunp095-ops,2026-04-15,09:48:18,-07:00,2026-04-15T09:48:18-07:00,0,20
style.css,89,css,89c44175,taejunp095-ops,2026-04-15,09:48:18,-07:00,2026-04-15T09:48:18-07:00,1,12
style.css,90,css,f31cfb56,taejunp095-ops,2026-04-13,11:06:08,-07:00,2026-04-13T11:06:08-07:00,0,0
style.css,91,css,f31cfb56,taejunp095-ops,2026-04-13,11:06:08,-07:00,2026-04-13T11:06:08-07:00,0,0
style.css,92,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,9
style.css,93,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,1,12
style.css,94,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,1,58
style.css,95,css,25639c5f,taejunp095-ops,2026-04-07,16:42:43,-07:00,2026-04-07T16:42:43-07:00,1,19
style.css,96,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,1,7
style.css,97,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,0
style.css,98,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,0
style.css,99,css,27520ed5,taejunp095-ops,2026-04-07,16:40:48,-07:00,2026-04-07T16:40:48-07:00,0,17
style.css,100,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,1,12
style.css,101,css,25639c5f,taejunp095-ops,2026-04-07,16:42:43,-07:00,2026-04-07T16:42:43-07:00,1,26
style.css,102,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,1,15
style.css,103,css,27520ed5,taejunp095-ops,2026-04-07,16:40:48,-07:00,2026-04-07T16:40:48-07:00,0,0
style.css,104,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,0
style.css,105,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,12
style.css,106,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,1,8
style.css,107,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,0
style.css,108,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,0
style.css,109,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,2
style.css,110,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,1,14
style.css,111,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,0
style.css,112,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,0
style.css,113,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,1
style.css,114,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,1
style.css,115,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,1
style.css,116,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,1
style.css,117,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,1
style.css,118,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,0,2
style.css,119,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,1,15
style.css,120,css,15f36485,taejunp095-ops,2026-04-07,16:28:25,-07:00,2026-04-07T16:28:25-07:00,1,17
style.css,121,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,0,0
style.css,122,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,0,0
style.css,123,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,0,14
style.css,124,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,1,18
style.css,125,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,0,0
style.css,126,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,0,0
style.css,127,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,0,16
style.css,128,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,1,20
style.css,129,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,1,23
style.css,130,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,0,0
style.css,131,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,0,0
style.css,132,css,bfbef7f1,taejunp095-ops,2026-04-07,16:55:35,-07:00,2026-04-07T16:55:35-07:00,0,7
